,Country,Capital,Latitude,Longitude
0,Afghanistan,Kabul,34¡28'N,69¡11'E
1,Albania,Tirane,41¡18'N,19¡49'E
2,Algeria,Algiers,36¡42'N,03¡08'E
3,American Samoa,Pago Pago,14¡16'S,170¡43'W
4,Andorra,Andorra la Vella,42¡31'N,01¡32'E
5,Angola,Luanda,08¡50'S,13¡15'E
6,Antigua and Barbuda,W. Indies,17¡20'N,61¡48'W
7,Argentina,Buenos Aires,36¡30'S,60¡00'W
8,Armenia,Yerevan,40¡10'N,44¡31'E
9,Aruba,Oranjestad,12¡32'N,70¡02'W
10,Australia,Canberra,35¡15'S,149¡08'E
11,Austria,Vienna,48¡12'N,16¡22'E
12,Azerbaijan,Baku,40¡29'N,49¡56'E
13,Bahamas,Nassau,25¡05'N,77¡20'W
14,Bahrain,Manama,26¡10'N,50¡30'E
15,Bangladesh,Dhaka,23¡43'N,90¡26'E
16,Barbados,Bridgetown,13¡05'N,59¡30'W
17,Belarus,Minsk,53¡52'N,27¡30'E
18,Belgium,Brussels,50¡51'N,04¡21'E
19,Belize,Belmopan,17¡18'N,88¡30'W
20,Benin,Porto-Novo (constitutional cotonou) (seat of gvnt),06¡23'N,02¡42'E
21,Bhutan,Thimphu,27¡31'N,89¡45'E
22,Bolivia,La Paz (adm.)/sucre (legislative),16¡20'S,68¡10'W
23,Bosnia and Herzegovina,Sarajevo,43¡52'N,18¡26'E
24,Botswana,Gaborone,24¡45'S,25¡57'E
25,Brazil,Brasilia,15¡47'S,47¡55'W
26,British Virgin Islands,Road Town,18¡27'N,64¡37'W
27,Brunei Darussalam,Bandar Seri Begawan,04¡52'N,115¡00'E
28,Bulgaria,Sofia,42¡45'N,23¡20'E
29,Burkina Faso,Ouagadougou,12¡15'N,01¡30'W
30,Burundi,Bujumbura,03¡16'S,29¡18'E
31,Cambodia,Phnom Penh,11¡33'N,104¡55'E
32,Cameroon,Yaounde,03¡50'N,11¡35'E
33,Canada,Ottawa,45¡27'N,75¡42'W
